utc,body,dist_deg
2027-03-02T16:27:28Z,Sun,63.10884
2048-06-26T01:16:44Z,Jupiter,160.13933
2011-04-10T08:58:06Z,Antares,152.97873
2003-12-24T07:00:45Z,Jupiter,115.76847
2002-06-25T18:11:09Z,Antares,34.76887
2044-09-05T18:03:44Z,Mars,101.74668
2015-03-17T02:50:43Z,Aldebaran,120.17382
2043-06-26T08:42:58Z,Regulus,167.46908
2017-10-13T22:12:17Z,Antares,120.83163
2024-08-02T21:05:27Z,Sun,19.11635
2002-10-20T02:02:11Z,Jupiter,121.65789
2015-04-07T11:55:48Z,Sun,146.20149
2033-06-28T05:08:34Z,Venus,59.89209
2020-03-14T07:37:15Z,Mars,50.71627
2046-09-09T16:39:53Z,Venus,127.33213
2034-04-13T21:06:31Z,Jupiter,41.15979
2044-08-30T01:50:03Z,Regulus,93.46891
2014-05-23T18:48:04Z,Spica,157.55164
2005-09-28T04:33:32Z,Aldebaran,58.14204
2023-07-21T10:17:24Z,Regulus,8.94229
2005-05-17T04:08:25Z,Sun,98.81547
2017-12-04T15:31:06Z,Regulus,63.41251
2029-08-24T12:37:12Z,Spica,132.59927
2048-03-19T00:22:59Z,Antares,159.03561
2011-01-26T13:30:38Z,Spica,12.71422
2048-10-21T03:47:14Z,Venus,135.51564
2050-12-14T17:46:53Z,Venus,52.57859
2020-07-11T22:25:12Z,Sun,101.37515
2008-03-30T10:19:26Z,Spica,81.86577
2013-09-14T11:13:52Z,Venus,71.52301
2024-08-24T00:12:33Z,Antares,140.00888
2033-08-12T22:52:52Z,Aldebaran,79.72459
2006-04-27T12:25:25Z,Antares,143.17014
2046-12-11T20:30:59Z,Mars,112.39075
2019-08-20T06:15:49Z,Antares,127.86915
2042-03-17T20:29:22Z,Mars,175.08981
2009-09-27T16:32:31Z,Jupiter,26.6885
2028-04-12T07:35:37Z,Antares,8.83908
2019-06-22T19:35:01Z,Mars,141.37708
2004-09-06T07:51:26Z,Spica,133.22016
2005-12-25T12:49:18Z,Venus,98.3904
2043-03-14T21:32:45Z,Venus,85.05815
2006-11-01T05:13:22Z,Venus,119.20427
2005-07-11T12:11:00Z,Sun,54.73764
2024-05-23T11:36:20Z,Spica,37.50594
2015-08-13T06:14:18Z,Regulus,25.62467
2039-12-15T02:54:30Z,Aldebaran,172.75405
2031-12-22T00:11:05Z,Mars,48.53228
2036-02-05T13:38:02Z,Antares,157.31011
2029-04-12T00:41:25Z,Regulus,147.81294
2035-01-28T02:42:05Z,Antares,68.1288
2002-08-12T05:16:06Z,Spica,18.60038
2037-08-05T20:41:29Z,Mars,19.84907
2023-04-16T17:01:28Z,Mars,120.5058
2019-01-05T10:29:13Z,Regulus,127.75581
2046-08-06T16:18:35Z,Sun,58.62689
2035-02-18T05:33:27Z,Aldebaran,24.56313
2012-04-27T11:32:02Z,Spica,98.76865
2042-12-29T13:09:00Z,Mars,155.89962
2007-04-25T03:31:41Z,Regulus,15.36125
2005-09-04T04:12:04Z,Jupiter,33.04586
2026-04-01T06:47:54Z,Jupiter,76.32756
2010-11-30T18:02:43Z,Antares,66.1965
2039-08-10T18:23:58Z,Antares,145.11283
2023-03-06T09:50:56Z,Antares,97.28554
2036-11-06T10:36:28Z,Sun,149.56924
2015-04-07T12:25:33Z,Spica,27.73415
2043-07-13T00:27:29Z,Spica,15.72227
2005-09-23T03:28:21Z,Regulus,84.29057
2013-01-19T22:23:27Z,Sun,100.39785
2008-11-14T15:27:58Z,Mars,166.00071
2029-04-05T15:15:29Z,Mars,103.11467
2019-11-02T20:20:08Z,Jupiter,28.57897
2048-12-11T11:24:37Z,Mars,12.59004
2015-12-17T06:03:03Z,Antares,87.25413
2018-05-23T17:55:54Z,Aldebaran,102.98518
2010-03-18T01:53:28Z,Antares,132.61326
2042-12-09T09:19:02Z,Jupiter,32.34096
2034-08-31T21:56:40Z,Mars,146.857
2003-10-31T20:41:08Z,Jupiter,140.76858
2017-09-07T14:52:48Z,Mars,149.75655
2044-09-04T12:03:12Z,Regulus,158.14413
2048-05-10T20:36:01Z,Venus,18.22576
2036-08-26T22:22:35Z,Regulus,73.76825
2048-07-20T06:43:45Z,Mars,18.15976
2021-10-17T20:23:17Z,Aldebaran,76.9838
2049-12-17T19:16:02Z,Antares,70.19543
2043-08-11T23:43:56Z,Sun,81.27032
2028-10-17T06:36:53Z,Venus,25.57337
2000-08-14T03:04:34Z,Antares,59.82201
2007-09-27T23:23:06Z,Antares,130.89646
2036-11-08T03:46:26Z,Jupiter,13.49383
2050-04-01T15:11:51Z,Mars,154.38366
2002-07-24T09:49:07Z,Antares,51.75058
2011-05-02T09:55:46Z,Spica,171.7904
2027-01-24T07:55:36Z,Mars,10.84899
2029-06-13T19:35:18Z,Sun,19.52634
2008-08-22T19:16:55Z,Sun,105.60225
2022-05-12T09:25:57Z,Jupiter,176.71327
2019-09-08T11:16:10Z,Venus,110.30515
2031-01-11T22:51:53Z,Spica,57.21844
2009-11-29T22:11:12Z,Spica,167.09793
2008-12-15T16:35:13Z,Mars,135.09244
2048-09-14T16:31:40Z,Spica,50.61147
2028-03-14T08:34:27Z,Sun,134.13341
2019-03-08T05:58:51Z,Aldebaran,64.95762
2002-04-20T01:10:44Z,Sun,83.91061
2040-01-04T16:04:27Z,Venus,87.27452
2042-04-16T19:12:57Z,Jupiter,100.04242
2031-06-11T05:03:41Z,Mars,124.29968
2029-03-11T06:03:37Z,Venus,40.60023
2008-11-08T05:12:54Z,Venus,75.28062
2028-09-02T09:14:22Z,Spica,118.71413
2043-12-03T08:53:27Z,Antares,19.76283
2015-03-25T18:52:04Z,Spica,127.11641
