utc,location,obs_lat,obs_lon,body,alt_deg,az_deg,sha_deg,dec_deg
2011-05-06T12:01:50Z,Southern Ocean,-55.0,-120.0,Dubhe,-58.24774,307.52496,193.88572,61.69128
2012-04-09T15:08:59Z,North Pole,89.9,0.0,Gienah,-17.66204,61.41676,175.87984,-17.61417
2044-07-27T16:33:41Z,South Pole,-89.9,0.0,Jupiter,20.34368,109.5965,56.02026,-20.37775
2040-07-12T20:01:05Z,Tokyo,35.6,139.7,Bellatrix,19.51839,96.23959,278.18105,6.3844
2016-01-16T03:25:56Z,Singapore,1.35,103.82,Capella,-41.67993,10.07623,280.52454,46.01163
2012-07-01T20:57:31Z,Sydney,-33.87,151.21,Shaula,-0.99312,222.40234,96.37387,-37.11147
2006-06-18T05:15:03Z,Mid-Atlantic,35.0,-40.0,Altair,63.04259,196.06593,62.22055,8.88272
2037-08-12T18:11:05Z,Intl Date Line,20.0,179.9,Fomalhaut,6.98982,235.1607,15.06819,-29.42032
2024-02-24T06:07:44Z,South Pole,-89.9,0.0,Betelgeuse,-7.50228,203.56453,270.87906,7.41062
2006-06-11T03:29:41Z,Mid-Atlantic,35.0,-40.0,Jupiter,19.54967,236.38556,142.08772,-13.61535
2025-07-22T02:10:44Z,Equator/Prime,0.0,0.0,Schedar,25.75913,21.91375,349.50636,56.67378
2028-10-22T20:00:36Z,North Pole,89.9,0.0,Kochab,74.00449,289.60873,137.35402,74.03777
2048-09-19T23:47:08Z,Mid-Atlantic,35.0,-40.0,Achernar,-18.53147,147.66485,335.10797,-56.98623
2029-10-01T01:15:59Z,Cape Horn,-55.9,-67.2,Capella,-51.06396,77.62368,280.26909,46.02328
2030-03-17T22:56:08Z,Southern Ocean,-55.0,-120.0,Procyon,3.91786,75.25962,244.77151,5.14232
2016-03-24T19:03:35Z,South Pole,-89.9,0.0,Kaus Aus.,34.27471,167.74846,83.68873,-34.37243
2030-01-19T17:22:39Z,Southern Ocean,-55.0,-120.0,Sun,43.06314,59.32074,58.15198,-20.21415
2040-01-06T19:17:23Z,Equator/Prime,0.0,0.0,Alphecca,-57.86864,327.27774,125.91171,26.58058
2019-07-24T10:36:54Z,Southern Ocean,-55.0,-120.0,Dubhe,-82.83052,340.12628,193.78487,61.6507
2022-09-09T23:41:14Z,Reykjavik,64.15,-21.95,Diphda,-0.16152,134.23607,348.81533,-17.86096
2024-09-25T00:27:51Z,North Pole,89.9,0.0,Diphda,-17.74902,180.074,348.78673,-17.84902
2025-01-27T16:24:57Z,North Pole,89.9,0.0,Hamal,23.67748,161.27804,327.85349,23.58277
2015-04-07T22:46:09Z,North Pole,89.9,0.0,Alpheratz,29.07213,355.13613,357.70883,29.17177
